modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | 4mm;4mm;545447;507266;725390;179943
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero;4mm+mosquitero;654317;608515;903588;249271
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | 4mm + Premarco;4mm+premarco;598807;556891;783252;184445
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;598807;556891;783252;184445
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;707677;658140;961451;253774
VENTANA_MODENA;azul;120x110;simil madera;120x110 | simil madera | DVH 4+9+4;DVH 4+9+4;655824;609916;872180;216356
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | 4mm;4mm;212124;197275;306270;94146
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | 4mm + Mosquitero;4mm+mosquitero;253187;235464;376537;123350
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | 4mm + Premarco;4mm+premarco;281724;262003;381743;100019
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;281724;262003;381743;100019
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;322787;300192;452010;129223
VENTANA_MODENA;verde;150x150;blanco;150x150 | blanco | DVH 4+9+4;DVH 4+9+4;368603;342801;532198;163595
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | 4mm;4mm;263645;245190;380657;117012
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | 4mm + Mosquitero;4mm+mosquitero;317027;294835;472005;154978
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | 4mm + Premarco;4mm+premarco;333245;309918;456130;122885
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;333245;309918;456130;122885
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;386627;359563;547477;160850
VENTANA_MODENA;verde;150x150;negro;150x150 | negro | DVH 4+9+4;DVH 4+9+4;420124;390715;606586;186462
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | 4mm;4mm;289406;269148;417852;128446
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;348947;324521;519738;170791
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco;4mm+premarco;359006;333876;493324;134318
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;359006;333876;493324;134318
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;418547;389249;595211;176664
VENTANA_MODENA;verde;150x150;bronce colonial;150x150 | bronce colonial | DVH 4+9+4;DVH 4+9+4;445885;414673;643780;197895
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | 4mm;4mm;692990;644481;1000556;307566
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero;4mm+mosquitero;849029;789597;1267570;418541
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | 4mm + Premarco;4mm+premarco;762590;709209;1076029;313439
