modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_MODENA;verde;200x150;bronce colonial;herrajes_blancos;627949;583993;906648;278699
PATAGONICA_MODENA;verde;150x110;simil madera;raja;766189;712556;1106243;340054
PATAGONICA_MODENA;verde;150x110;simil madera;brazo;770189;716276;1112018;341829
PATAGONICA_MODENA;verde;150x110;simil madera;volcable;770189;716276;1112018;341829
PATAGONICA_MODENA;verde;150x110;simil madera;oscilobatiente;866189;805556;1250625;384436
PATAGONICA_MODENA;verde;150x110;simil madera;mosquitero;845990;782780;1235456;389466
PATAGONICA_MODENA;verde;150x110;simil madera;premarco;826509;768653;1171653;345144
PATAGONICA_MODENA;verde;150x110;simil madera;herrajes_blancos;802772;746578;1159062;356290
PATAGONICA_MODENA;verde;200x150;simil madera;raja;1461116;1358838;2109596;648480
PATAGONICA_MODENA;verde;200x150;simil madera;brazo;1465116;1362558;2115371;650255
PATAGONICA_MODENA;verde;200x150;simil madera;volcable;1465116;1362558;2115371;650255
PATAGONICA_MODENA;verde;200x150;simil madera;oscilobatiente;1561116;1451838;2253978;692862
PATAGONICA_MODENA;verde;200x150;simil madera;mosquitero;1606208;1486519;2344529;738321
PATAGONICA_MODENA;verde;200x150;simil madera;premarco;1542316;1434354;2197647;655331
PATAGONICA_MODENA;verde;200x150;simil madera;herrajes_blancos;1530623;1423479;2209952;679329
PATAGONICA_MODENA;papu;150x110;blanco;raja;227069;227069;227069;0
PATAGONICA_MODENA;papu;150x110;blanco;brazo;231069;231069;231069;0
PATAGONICA_MODENA;papu;150x110;blanco;volcable;231069;231069;231069;0
PATAGONICA_MODENA;papu;150x110;blanco;oscilobatiente;327069;327069;327069;0
PATAGONICA_MODENA;papu;150x110;blanco;mosquitero;306870;306870;306870;0
PATAGONICA_MODENA;papu;150x110;blanco;premarco;287389;287389;287389;0
PATAGONICA_MODENA;papu;150x110;blanco;herrajes_blancos;236696;236696;236696;0
PATAGONICA_MODENA;papu;200x150;blanco;raja;436806;436806;436806;0
PATAGONICA_MODENA;papu;200x150;blanco;brazo;440806;440806;440806;0
PATAGONICA_MODENA;papu;200x150;blanco;volcable;440806;440806;440806;0
PATAGONICA_MODENA;papu;200x150;blanco;oscilobatiente;536806;536806;536806;0
PATAGONICA_MODENA;papu;200x150;blanco;mosquitero;581898;581898;581898;0
PATAGONICA_MODENA;papu;200x150;blanco;premarco;518006;518006;518006;0
PATAGONICA_MODENA;papu;200x150;blanco;herrajes_blancos;455097;455097;455097;0
PATAGONICA_MODENA;papu;150x110;negro;raja;284832;284832;284832;0
PATAGONICA_MODENA;papu;150x110;negro;brazo;288832;288832;288832;0
PATAGONICA_MODENA;papu;150x110;negro;volcable;288832;288832;288832;0
PATAGONICA_MODENA;papu;150x110;negro;oscilobatiente;384832;384832;384832;0
PATAGONICA_MODENA;papu;150x110;negro;mosquitero;364633;364633;364633;0
PATAGONICA_MODENA;papu;150x110;negro;premarco;345152;345152;345152;0
PATAGONICA_MODENA;papu;150x110;negro;herrajes_blancos;297347;297347;297347;0
PATAGONICA_MODENA;papu;200x150;negro;raja;546554;546554;546554;0
PATAGONICA_MODENA;papu;200x150;negro;brazo;550554;550554;550554;0
PATAGONICA_MODENA;papu;200x150;negro;volcable;550554;550554;550554;0
PATAGONICA_MODENA;papu;200x150;negro;oscilobatiente;646554;646554;646554;0
PATAGONICA_MODENA;papu;200x150;negro;mosquitero;691646;691646;691646;0
PATAGONICA_MODENA;papu;200x150;negro;premarco;627754;627754;627754;0
PATAGONICA_MODENA;papu;200x150;negro;herrajes_blancos;570333;570333;570333;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;raja;313713;313713;313713;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;brazo;317713;317713;317713;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;volcable;317713;317713;317713;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;oscilobatiente;413713;413713;413713;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;mosquitero;393514;393514;393514;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;premarco;374033;374033;374033;0
PATAGONICA_MODENA;papu;150x110;bronce colonial;herrajes_blancos;327672;327672;327672;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;raja;601427;601427;601427;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;brazo;605427;605427;605427;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;volcable;605427;605427;605427;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;oscilobatiente;701427;701427;701427;0
